Conv num,best FB,best G,best Det Performance
3,0.969795,0.875,94.13565
3,0.960030625,0.875,93.45214375
3,0.965581875,0.875,93.84073125
3,0.9657668749999999,0.875,93.85368125
3,0.9618874999999999,0.875,93.58212499999999
3,0.96263625,0.8125,91.7595375
3,0.9588668749999999,0.875,93.37068124999999
3,0.9583393750000001,0.8125,91.45875625000001
3,0.966888125,0.875,93.93216875
3,0.957893125,0.875,93.30251875
3,0.9573787500000001,0.875,93.2665125
3,0.95240875,0.75,89.1686125
3,0.956910625,0.8125,91.35874375
3,0.9548475000000001,0.8125,91.214325
3,0.9571443750000002,0.875,93.25010625000002
3,0.96198375,0.875,93.5888625
3,0.9523356249999999,0.875,92.91349374999999
3,0.9683775,0.875,94.036425
3,0.9659449999999999,0.875,93.86614999999999
3,0.9620793750000001,0.875,93.59555625
3,0.9636287499999999,0.8125,91.82901249999999
3,0.9651518749999999,0.875,93.81063124999999
3,0.9689531250000001,0.875,94.07671875000001
3,0.952916875,0.8125,91.07918125
3,0.96517125,0.875,93.8119875
3,0.9599893749999999,0.875,93.44925624999999
3,0.9726137499999999,0.875,94.3329625
3,0.965406875,0.875,93.82848125
3,0.9607800000000001,0.875,93.50460000000001
3,0.9605874999999999,0.8125,91.616125
3,0.9571393749999999,0.8125,91.37475624999999
3,0.9550287499999999,0.75,89.35201249999999
3,0.96648125,0.8125,92.0286875
3,0.9527174999999998,0.8125,91.06522499999998
3,0.95815875,0.8125,91.4461125
3,0.9686775000000001,0.875,94.05742500000001
3,0.96367375,0.875,93.7071625
3,0.9552987500000001,0.8125,91.2459125
3,0.9605581249999999,0.875,93.48906875
3,0.9664025,0.875,93.89817500000001
3,0.9568062499999999,0.8125,91.35143749999999
3,0.948781875,0.8125,90.78973125
3,0.96522875,0.875,93.8160125
3,0.963486875,0.875,93.69408125
3,0.961865,0.875,93.58055
3,0.9657106250000002,0.875,93.84974375000002
3,0.9656343750000002,0.875,93.84440625
3,0.962899375,0.875,93.65295625
3,0.9648906249999999,0.8125,91.91734374999999
3,0.9645631249999999,0.875,93.76941874999999
4,0.9448562499999998,0.8125,90.51493749999999
4,0.9454843749999999,0.8125,90.55890624999999
4,0.9496649999999998,0.8125,90.85154999999999
4,0.948169375,0.8125,90.74685625
4,0.9485612499999999,0.75,88.8992875
4,0.9533312499999999,0.875,92.98318749999999
4,0.94811125,0.8125,90.74278749999999
4,0.95413,0.8125,91.1641
4,0.954586875,0.75,89.32108124999999
4,0.9537049999999999,0.8125,91.13435
4,0.9549306249999999,0.875,93.09514374999999
4,0.9568324999999999,0.875,93.228275
4,0.95724125,0.875,93.2568875
4,0.9417137500000001,0.75,88.41996250000001
4,0.928524375,0.5,79.99670625
4,0.9479481249999999,0.8125,90.73136875
4,0.9611756250000001,0.875,93.53229375000001
4,0.9339087499999998,0.75,87.8736125
4,0.9560618750000001,0.75,89.42433125000001
4,0.9533137500000001,0.875,92.98196250000001
4,0.942110625,0.75,88.44774375
4,0.9611499999999998,0.8125,91.65549999999999
4,0.91818,0.5,79.2726
4,0.945166875,0.8125,90.53668125
4,0.95796875,0.875,93.3078125
4,0.9536125,0.875,93.002875
4,0.94385375,0.8125,90.44476250000001
4,0.9559699999999999,0.875,93.16789999999999
4,0.96205,0.875,93.59349999999999
4,0.9541125,0.6875,87.412875
4,0.949355,0.75,88.95485
4,0.95966,0.8125,91.5512
4,0.951938125,0.75,89.13566875
4,0.94411125,0.8125,90.46278749999999
4,0.929453125,0.625,83.81171875
4,0.950584375,0.8125,90.91590625
4,0.956345625,0.8125,91.31919375
4,0.9510631249999999,0.875,92.82441874999999
4,0.947788125,0.875,92.59516875
4,0.947754375,0.8125,90.71780625000001
4,0.9447174999999999,0.8125,90.505225
4,0.952454375,0.8125,91.04680625
4,0.9595849999999999,0.8125,91.54594999999999
4,0.9354431249999999,0.625,84.23101874999999
4,0.9525825000000001,0.875,92.93077500000001
4,0.9505043749999998,0.875,92.78530624999999
4,0.948678125,0.8125,90.78246875
4,0.93604125,0.625,84.27288750000001
4,0.9565349999999999,0.875,93.20745
4,0.946814375,0.75,88.77700625
